feature, value
StoreID, 0.189117
NearestCompetitor, 0.142533
Day, 0.0511244
HasPromotions, 0.0394791
Month, 0.039337
Max_Dew_PointC, 0.0368317
IsOpen, 0.0322972
Max_Sea_Level_PressurehPa, 0.0322439
Max_TemperatureC, 0.0259486
Region, 0.0241967
Mean_Humidity, 0.023756,
Min_Humidity, 0.0234842
Max_Wind_SpeedKm_h, 0.021503,
Year, 0.0195645
Precipitationmm, 0.0190084,
Min_Sea_Level_PressurehPa, 0.01847
Max_Humidity, 0.0184682,
Mean_Wind_SpeedKm_h, 0.016583
Hyper_Market, 0.0161513,
Mean_Sea_Level_PressurehPa, 0.015485
General, 0.0147316,
Region_AreaKM2, 0.0140759
Mean_VisibilityKm, 0.0136513,
Max_Gust_SpeedKm_h, 0.0136264
Min_VisibilitykM, 0.0132408,
Min_TemperatureC, 0.0132249
CloudCover, 0.0130792,
Min_Dew_PointC, 0.0127824
Region_GDP, 0.0114765,
Mean_Dew_PointC, 0.01105
Mean_TemperatureC, 0.0099715,
Max_VisibilityKm, 0.00949354
Super_Market, 0.00916127,
IsHoliday, 0.00815026
Standard_Market, 0.00706107,
Region_PopulationK, 0.00595767
Shopping_Center, 0.00481518,
Rain, 0.00243069
Fog, 0.00182124
Thunderstorm, 0.00138236
With_Non-Food_Department, 0.00126332
Snow, 0.00120113
Hail, 0.000488625
With_Fish_Department,0.000280737
